通し番号,popup,遺産名,lat,lon,lat-修正,lon-修正,国,種類,文化遺産,自然遺産,複合遺産,登録年,(ⅰ),(ⅱ),(ⅲ),(ⅳ),(ⅴ),(ⅵ),(ⅶ),(ⅷ),(ⅸ),(ⅹ)
27,メサ・ヴェルデ国立公園/1978,メサ・ヴェルデ国立公園,37.26166667,-108.4855556,,,アメリカ合衆国,文化遺産,1,0,0,1978,0,0,1,0,0,0,0,0,0,0
149,ゴンバデ・カーブース/2012,ゴンバデ・カーブース,37.25802778,55.169,,,イラン・イスラム共和国,文化遺産,1,0,0,2012,1,1,1,1,0,0,0,0,0,0
644,平遥の古代都市/1997,平遥の古代都市,37.20138889,112.1544444,,,中華人民共和国,文化遺産,1,0,0,1997,0,1,1,1,0,0,0,0,0,0
576,朝鮮王朝の王墓群/2009,朝鮮王朝の王墓群,37.19722222,128.4527778,,,大韓民国,文化遺産,1,0,0,2009,0,0,1,1,0,1,0,0,0,0
26,マンモス・ケーブ国立公園/1981,マンモス・ケーブ国立公園,37.18722222,-86.10305556,,,アメリカ合衆国,自然遺産,0,1,0,1981,0,0,0,0,0,0,1,1,0,1
498,グラナダのアルハンブラ宮殿、ヘネラリーフェ離宮、アルバイシン地区/1984,グラナダのアルハンブラ宮殿、ヘネラリーフェ離宮、アルバイシン地区,37.17666667,-3.594444444,,,スペイン,文化遺産,1,0,0,1984,1,0,1,1,0,0,0,0,0,0
668,イシュケル国立公園/1980,イシュケル国立公園,37.16666667,9.666666667,,,チュニジア共和国,自然遺産,0,1,0,1980,0,0,0,0,0,0,0,0,0,1
390,ミストラの考古遺跡/1989,ミストラの考古遺跡,37.08056,22.36667,,,ギリシャ共和国,文化遺産,1,0,0,1989,0,1,1,1,0,0,0,0,0,0
96,シラクサとパンタリカの岩壁墓地遺跡/2005,シラクサとパンタリカの岩壁墓地遺跡,37.05944444,15.29305556,,,イタリア共和国,文化遺産,1,0,0,2005,0,1,1,1,0,1,0,0,0,0
510,ドニャーナ国立公園/1994,ドニャーナ国立公園,36.9477,-6.358861111,,,スペイン,自然遺産,0,1,0,1994,0,0,0,0,0,0,1,0,1,1
82,ヴァル・ディ・ノートの後期バロック様式の都市景観群（シチリア島南東部）/2002,ヴァル・ディ・ノートの後期バロック様式の都市景観群（シチリア島南東部）,36.89319444,15.06891667,,,イタリア共和国,文化遺産,1,0,0,2002,1,1,0,1,1,0,0,0,0,0
